,code_bss,bss_id,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
45,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-29,959558400000,102.64,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.52
46,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-30,959644800000,102.67,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.49
47,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-31,959731200000,102.68,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.48
48,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-01,959817600000,102.7,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.46
49,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-02,959904000000,102.75,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.41
50,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-03,959990400000,102.79,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.37
51,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-04,960076800000,102.82,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.34
52,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-05,960163200000,102.86,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.3
53,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-06,960249600000,102.87,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.29
54,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-06-07,960336000000,102.89,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.27
